Unique ID,Topic,Viewed,Initiated Service Request
156,Medians,16,0
157,Open Space Rules and Regulations,14,2
158,Contact the Open Space Board of Trustees,16,0
159,Neighborhood Eco Pass,15,0
160,"Water, Wastewater, Stormwater/Drainageway Flood Recovery",15,0
161,Open Space Recreation Activities,15,0
162,No Water/Service Disruptions,15,0
163,Solar Rebate Program,14,0
164,Visitors,14,0
165,Open Space and Trail Maps,14,0
166,Elections,14,0
167,Events,14,0
168,Wage Issues,13,0
169,Animal Shelter,13,0
170,Housing Fund for Affordable Housing Providers,13,0
171,Block Party,12,0
172,Boulder Convention & Visitors Bureau,11,0
173,Human Services Fund,11,0
174,Domestic Partnership Registration,11,0
175,Auction Licensing Instructions,11,0
176,Itinerant Merchant (Door-to-door) License,10,0
177,Water Being Pumped or Diverted Off Private Property to Elsewhere,9,1
178,Community Event and Impact Funds,10,0
179,Drivers License and License Plates,10,0
180,Fire Safety Education,10,0
181,Apply for Boards & Commissions,10,0
182,Irrigation in City Parks,9,0
183,Pawnbroker and Secondhand Dealer License Instructions,9,0
184,School Zone Flashing Beacons,8,1
185,Twenty Ninth Street,9,0
186,Hourly Billing Charges for Development Review Applications,9,0
187,Community Mediation Service,9,0
188,Discrimination,9,0
189,Fire System Permit Review,9,0
190,ISO Rating and Insurance Information,9,0
191,Family Resource Center and Schools,9,0
192,Local History,9,0
193,Senior Centers,9,0
194,Cone Zones,8,0
195,Construction and Event Parking Permits,8,0
196,"Circus, Carnival or Menagerie License Instructions",8,0
197,News,8,0
198,Scalping Tickets,8,0
199,Including Affordable Units in Residential Development,8,0
200,Senior Services Programs,8,0
201,Immigrant Integration,8,0
202,Voter Registration,8,0
203,Request for a Fire Incident Report,8,0
204,Skateboarding,8,0
205,Americans with Disabilities Act (ADA) Trails,7,0
206,Food Tax Rebate Program,7,0
207,Americans with Disabilities Act (ADA),7,0
208,Accessible Parking,7,0
209,"Off-trail, Habit Conservation Area and Backcountry Permits",7,0
210,Inside Boulder News,7,0
211,Car Seat Technicians,7,0
212,CPR Classes,7,0
213,Child Care Provider Training,7,0
214,Fourmile Canyon Creek Greenways Improvements Project,3,4
215,"Emergency Alerts, Numbers and Warnings",7,0
216,Emergency Preparedness,7,0
217,North Boulder Subcommunity Plan,1,6
218,Landscape Mulch and Free Mulch,6,0
219,Community Development Block Grant,6,0
220,Birth & Death Certificate Request,6,0
221,Boulder Office of Emergency Management,6,0
222,Recreation Equipment Issues,6,0
223,Softball Leagues,6,0
224,EXPAND Duck Race,5,0
225,Water Seepage,5,0
226,Youth Opportunities Grants,5,0
227,Reimbursement forÃ‚Â  Professional Development,5,0
228,Fire Evacuation Information,5,0
229,Ask-a-Librarian,5,0
230,Events at Boulder Public Library,5,0
231,Getting a Boulder Public Library card,5,0
232,Meals on Wheels and Cafe Classico,5,0
233,Youth Opportunities,5,0
234,Previous Elections,4,0
235,Home Repair Programs,4,0
236,Library Meeting Space,4,0
237,BoulderReads!,4,0
238,Child Care Referrals and Subsidies,4,0
239,Macky Auditorium (Boulder Arts Commission) Free Rental Space,4,0
240,Current Emergency Information,4,0
241,Parking Fees at Open Space Trailheads,4,0
242,Prevention and Intervention,4,0
243,Prescribed Fires,4,0
244,Pharmaceutical Disposal and Collection,4,0
245,Americans for the Arts Convention Scholarships,3,0
246,Boulder Arts Commission Grants,3,0
247,Theater Rental and Marketing Assistance Grants,3,0
248,aaTest,0,3
249,Committees,3,0
250,Canyon Gallery and Art Exhibit Space,3,0
251,Canyon Theater and Canyon Gallery Space Rentals,3,0
252,Illegal Use of a Dumpster,3,0
253,Volunteering at the Library,3,0
254,Transportation Flood Recovery,1,1
255,Transportation Projects,1,1
256,Polling Places,2,0
