Topic,Category,Department,question,answer
Affordable Homeownership,Housing,Housing ,How are improvements calculated for Affordable Homes?,"The low-income covenant lists all of the pre-approved capital improvements. The home owner should contact the city before the improvement has begun in order to ensure how the improvement will be calculated into the resale price. Homeowners are allowed to add a maximum of $25,000 to the resale calculation for pre-approved capital improvements. For more information, please visit the Affordable Homeownership Program website."
Affordable Rental Opportunities,Housing,Housing ,Affordable Rental Opportunities,"The City of Boulder is committed to maintaining a variety of rental housing options that are affordable to residents of all income levels. Low-income/subsidized rentals Boulder Housing Partners (720-564-4600) Thistle Community Housing (303-443-0007) Boulder County Housing Authority (720-564-2284) Senior rentals and other housingSenior Housing Guide for Boulder County Pets in rental housingHumane Society of Boulder Valley List of Pet-friendly Rental Properties Rental Licensing The City of Boulder's Rental Housing Inspection and Licensing Program exists to preserve public safety and establishes minimum standards for basic equipment and facilities for rental property.    For more information, see: Rental Licensing Renter's rights (Landlord/tenant information and mediation) For rental properties located within Boulder city limits, contact Community Mediation Services at 303-441-4364. For University of Colorado students, call Off-Campus Housing & Neighborhood Relations at 303-492-7053. For rental properties in unincorporated Boulder County, call the Boulder County District Attorney's Office at 303-441-3700 and request the Consumer Affairs Office. For rental properties within Longmont city limits, call 303-651-8445."
Affordable Rental Opportunities,Housing,Housing ,Need help paying rent?,"Contact Emergency Family Assistance Association (EFAA) or call 303-442-3042. Additional Resources HUD Subsidized Housing List ColoradoHousingSearch.com is jointly sponsored by the Colorado Housing and Finance Authority (CHFA) and the Colorado Division of Housing as a public service to the residents of Colorado. Its primary goals are to: help Coloradans find and maintain quality, safe and decent places to live; provide a clearinghouse for affordable housing and related services; and facilitate operating efficiencies in the affordable housing market."
Aircraft Noise,Airport,Public Works ,Aircraft Noise,"The Boulder Municipal Airport has a voluntary noise abatement program. Noise abatement procedures are designed to minimize the level of aircraft noise near residential areas while ensuring the safety of flight operations. Pilots are asked to be aware of noise-sensitive neighborhoods and to follow the voluntary noise abatement procedures during operations. To report a noise concern, complete the Noise Abatement report form or call 303-441-3108."
Airport,Airport,Public Works ,Where is the Boulder Municipal Airport Located?,The Boulder Municipal Airport is located along the 3300 block of Airport Road.
Airport,Airport,Public Works ,Where can I learn about leasing property at the Boulder Municipal Airport?,"For more information, visit the Leasing Information Web page."
Airport,Airport,Public Works ,What airlines fly into Boulder Municipal Airport?,"Boulder Municipal Airport is not served by commercial airlines. If you are visiting the Denver/Boulder area, we suggest flying into Denver International Airport. Several shuttle services and a public bus service (RTD SkyRide) provide ground transportation between Denver International Airport and the Boulder area."
Airport,Airport,Public Works ,Where can I get information about aircraft noise policies?,Please refer to the Noise Abatement Web page.
Airport,Airport,Public Works ,What is the city's role in airport operations?,"The city is responsible for the safe and efficient operation and maintenance of the airport. The city works to balance the impacts of airport operations and the needs of airport users with the needs of the community. To do this, the city controls land use around the Boulder Municipal Airport and dictates procedures for aircraft operations on the ground (aircraft in the air are regulated by the FAA). The Boulder Valley Comprehensive Plan outlines the policy for land use around the airport, and the Airport Master Plan outlines operations of the airport."
Airport,Airport,Public Works ,What is the traffic pattern for the Boulder Municipal Airport?,View the Traffic Pattern for Boulder Municipal Airport.
Airport,Airport,Public Works ,How is the local airspace regulated?,"The Federal Aviation Administration (FAA) has exclusive control of all airspace over the United States. All airspace users are subject to the FAA's Federal Aviation Regulations (FARs). These regulations cover aircraft and pilot registrations, operational control of all aircraft while in the air, traffic patterns, altitude, noise, safety issues and a myriad of other aviation-related matters."
Airport,Airport,Public Works ,What and when is Airport Day?,"Airport Day is a fun, low-key event for the whole family, held every other year on Father's Day weekend at the Boulder Municipal Airport. The next Airport Day will be on Saturday, June 14, 2014. The 2012 event featured World War II planes, antique planes, aerobatic planes, a military helicopter, gliders and much more. Visitors were able to look inside the aircraft, ask questions of the pilots and take photos. There were also fire/rescue trucks, food vendors and rides in two different kinds of helicopters."
Airport,Airport,Public Works ,Who can I contact about the airport?,"For more information, contact Airport Management at 303-441-3108 or email bma@bouldercolorado.gov."
Alley Maintenance,Transportation,Public Works ,Alley Maintenance,"The City of Boulder Transportation Maintenance Department maintains alleys on an ""as needed"" basis. Alleys, typically constructed of a sand/stone material mixture called road base, are assessed annually and priorities are set for maintenance activities. These activities may include potholing, reconstruction or grading, with the majority of alleys getting graded on an annual basis. To request alley maintenance, please call 303-441-3200 between 7 a.m. and 5:00 p.m. Monday-Friday or submit a service request for this item in the ""Make a Service Request"" area below."
Americans for the Arts Convention Scholarships,"Grants, Rebates and Funding Opportunities",Library ,Americans for the Arts Convention Scholarships,"The Boulder Arts Commission offers scholarships to encourage leaders in the Boulder arts community to attend the Americans for the Arts annual summer convention. For more information and to apply, please visit the Boulder Arts Commission website."
Americans with Disabilities Act (ADA),Legal,Human Services ,Americans with Disabilities Act (ADA),"The City of Boulder is committed to providing equal opportunities for people with disabilities to participate in and enjoy community programs, services and facilities. The city will make reasonable accommodations for people with disabilities in accordance with the Americans with Disabilities Act (ADA). The City of Boulder affirmatively recruits people with disabilities in the same manner as it seeks minority and female applicants. Human Resources identifies various recruiting sources specializing in referral of people with disabilities. Learn more about employment Accessibility."
Americans with Disabilities Act (ADA) Trails,People with Disabilities Information,Open Space and Mountain Parks ,Americans with Disabilities Act (ADA) Trails,"The Open Space and Mountain Parks (OSMP) Department provides a variety of outdoor recreation opportunities for people of all abilities. Many trails, parking areas, shelters and facilities on OSMP already meet accessibility guidelines established by the Americans with Disabilities Act (ADA). Others are retrofitted each year as resources allow. ADA guidelines are included in the design of new structures, trails and facilities. Learn more about outdoor recreation opportunities for OSMP Visitors with Disabilities."
Animal Noise (Barking Dogs),Animals,Police ,Animal Noise (Barking Dogs),"Please contact Animal Protection at 303-441-3333 to report a problem or file a complaint. The City of Boulder animal noise ordinance states that it is unlawful for an owner to allow an animal to disturb the peace by barking, howling, whining, crowing, baying, or making any other loud and persistent or loud and habitual noise. To view a complete list of all City of Boulder animal laws, review Chapter 6-1: Animals from the Boulder Revised Code."
Animal Noise (Barking Dogs),Animals,Police ,How can I deal with a barking dog?,"If a dog is causing a nuisance and disturbing your peace, there are some steps you can follow to help resolve the issue. The first step to take is to try and talk with your neighbor. Many people are unaware that their dog barks when they are absent. They may not be aware that their dog's barking is bothering you. Speaking with the dog guardian often solves the problem. If you are uncomfortable speaking with your neighbor, a polite note placed on the front door or mailed to the address can help make them aware of the problem. While the city does recommend trying to solve the dispute with your neighbor to reach an amiable solution on your own, speaking with your neighbor is a suggestion and not a requirement when dealing with barking dogs. If attempting to address the barking dog problem on your own fails, call the Boulder Police Animal Protection at 303-441-3333 to report the problem. Be prepared to provide Animal Protection with the following information: the address of the barking dog; exact date(s) and time(s) of the barking, preferably the most recent occurrence; and a description of the dog(s), if you can provide one. The City of Boulder has a two-step process when dealing with nuisance dogs. Once you have provided the necessary information, Boulder Police Animal Protection will contact the dog's guardian and issue a written warning. Animal Protection will meet with the guardian in person to help them identify what is causing the barking and try to find a solution. In accordance with city ordinance, a written warning must be issued prior to a summons being served. After the warning is issued, give the guardian 10 to 14 days to identify the cause and possible resolutions to the nuisance barking. Many times, guardians need to utilize trial and error to discover which bark-control methods work best for their dog If the written warning is not successful and additional enforcement action must be taken, two reporting parties are required for a court summons to be issued. The reporting parties will need to complete witness statements for the same date/time/duration for a court summons to be issued."
Animal Noise (Barking Dogs),Animals,Police ,Why do dogs bark?,"Dogs bark for many reasons, and determining what causes the barking is the first tool to begin to resolve the problem behavior. Some common reasons that dogs bark are listed below. Boredom/loneliness -  Dogs are pack animals, are not solitary, and do not like to be left alone. They need a lot of attention and stimulation. Territorial/protection - Dogs will bark at people or animals that come near their territory to get them to leave. This can often appear to be aggressive behavior. Separation anxiety -  Dogs with separation anxiety often bark excessively when left alone. Dogs who have separation anxiety will often pace and exhibit destructive behavior. Alarm/fear - Some dogs will bark at anything that startles them or catches their attention. There are many things throughout a day that may startle a dog. Be a good neighbor. A barking dog can be disruptive to your neighbors and can put a strain on your relationship. It can also lead to a court summons if allowed to continue. There are many ways to help curb your dog's barking. A few common methods are listed below. Give your dog a special toy or long-lasting treat to entertain them while you are away. Daily exercise will stimulate your dog both physically and mentally, making them a much calmer, more enjoyable pet. Ultra-sonic bark control devices are typically placed outside around the yard and emit a high-pitched sound every time the dog barks. Citronella bark collars spray an unpleasant smell towards the dog's nose every time they bark. Electronic bark collars emit a static electric charge when the dog is barking."
"Animal Protection, Rules and Regulations",Animals,Police ,"Animal Protection, Rules and Regulations","Animal Protection Please contact Animal Protection at 303-441-3333 to report a problem or file a complaint. Boulder Animal Protection is a division of the Boulder Police Department that enforces all city ordinances related to animals and state laws related to domestic animals. Animal Protection responds to animal-related complaints and promotes responsible pet ownership through enforcement, mediation and education. Officers investigate and respond to: roaming dogs; dangerous or aggressive animals; animal bites; cruelty and/or neglect to animals; animal noise (barking dogs); excess animal feces; leash law and tethering violations; dog licensing violations; and injured and orphaned small wildlife. Animal Rules and Regulations The City of Boulder's animal laws were developed to ensure the health and safety of residents and their pets. To view a complete list of all City of Boulder animal laws, review Chapter 6-1: Animals from the Boulder Revised Code. Leash law All dogs in the City of Boulder must be kept on leashes at all times unless they are confined to their owner's property. Dogs that roam loose present a danger to the community and may be hit by a car or attacked by other animals. An exception for your dog to run free is to utilize one of the designated off-leash dog parks. If you have obtained an Open Space & Mountain Parks Voice and Sight Tag for your dog, you must utilize the designated opens space areas that are participating in that program. Rabies vaccination City of Boulder law requires all dogs and cats over the age of four months to be vaccinated against rabies. After the initial vaccination, animals must be kept current on rabies vaccinations using either a one-year or three-year vaccination. All vaccinations must be provided by a Colorado-licensed veterinarian. City of Boulder dog licenseA City of Boulder dog license is required for all dogs over the age of four months living within the city limits. The license serves as identification to enable officers to contact you if your dog is lost or injured, and to ensure that your dog is currently vaccinated against rabies. The license must be obtained within 30 days of acquiring the dog or within 30 days of moving to Boulder. In order to purchase a city dog license, a guardian must provide proof of a current rabies vaccination. All dogs are required to wear their City of Boulder dog license tag on their collar or harness at all times. Keep in mind that the Open Space & Mountain Parks Voice and Sight Tag is not a substitute for a city dog license. Aggressive animals No person shall own or keep any aggressive animal. An aggressive animal is one that approaches a person in a vicious or terrorizing attitude of attack. An animal that bites, claws, or attempts to bite or claw any person, or bites or injures another animal, will be considered a vicious animal. Be sure to keep your pets under control at all times to prevent an incident such as an attack or bite. Animal cruelty or neglect All animals in Boulder are legally protected from being abandoned, beaten, tortured, injured, transported in an unsafe manner, or killed. Failure to provide adequate food, water, shelter, veterinary care, grooming, opportunity for exercise, or sanitary conditions is a violation of city ordinance. Violators will be strictly prosecuted for these infractions. Barking dog nuisance Boulder's animal noise ordinance states that it is unlawful for an owner to allow an animal to disturb the peace with loud and habitual barking, howling, whining, or baying. If you notice that your dog barks unnecessarily, it is your responsibility to identify the problem and resolve it immediately to prevent a disturbance to your neighborhood. Clean up after your animal. Picking up your pet's waste is required by city ordinance. It is an important way to help preserve our environment and prevent the spread of disease. Please be courteous to other Boulder community members by cleaning up after your pet. Cats While not subject to leash and licensing laws, cats must be vaccinated against rabies beginning at four months of age. Cats must also be restrained from creating a nuisance by leaving feces or damaging the property of another. If a cat is causing a nuisance by defecating or destroying property, a property owner has the legal right to remove the cat from their property and bring it to the local animal shelter. The guardian may also be charged with owning a nuisance cat. Impound and board fees apply to impounded cats. Strict liability Boulder animal laws are strict liability laws. Therefore, an animal's guardian is liable even when there is no proof of negligence or intent. The guardian is responsible for their animal's actions, regardless of the circumstances, accidental or otherwise. If an animal injures, kills, or damages any person, other animal, or property, the strict liability law holds the guardian or keeper of the animal legally responsible, and includes all costs and damages incurred. Penalties In addition to impoundment fees, guardians are subject to a court summons for violations of the city animal ordinances. The maximum penalty for each violation is $1,000 and/or 90 days in jail. Fines are subject to increase for subsequent violations."
Animal Shelter,Animals,Police ,Animal Shelter,"To report a stray or found pet, please contact Boulder Police Animal Protection at 303-441-3333. The City of Boulder contracts with the Humane Society of Boulder Valley to house stray, lost, or abandoned animals. If you have lost your pet, or are looking to adopt, please contact the Humane Society of Boulder Valley. Humane Society of Boulder Valley 2323 55th Street, Boulder, CO 80301303-442-4030"
Ask-a-Librarian,Library,Library ,Ask-a-Librarian,"Ask a research or library question, and a library staff member will respond within 24 hours. Submit your question"
Auction Licensing Instructions,"Licensing, Permits and Fees/Taxes",Finance ,Auction Licensing Instructions,Most auctions require a special regulatory license. Regulatory license are managed by the Tax & License Division of the Finance Department.
Backflow Prevention - Drinking Water,Water and Sewer,Public Works ,Backflow Prevention - Drinking Water,"Backflow is the undesired, reversed flow of water in water lines that can contaminate drinking water. The City of Boulder controls water quality up to the point of a private property. After this point, water quality can be degraded or contaminated within a private property. When backflow occurs, water from inside a private property can be pushed or pulled back into the community's drinking water supply. View Backflow Prevention Frequently Asked Questions."
Bear Resistant Container Required,Code Enforcement,Police ,Bear Resistant Container Required,"Please call Code Enforcement at 303-441-1875 to ask questions or report a code violation.   Service requests submitted online will receive a response within four business days (7:00 am - 5:00 pm, except holidays). Bear Resistant Container Required 6-3-12 - LIMITED WARNINGS will be issued for this violation. The purpose of this chapter is to protect native wildife and the public health, safety and welfare by regulating the secure storage of trash and compost materials from being accessible to bears and other wildlife. Visit boulderwildlifeplan.net for additional information."
Bear Resistant Container Required,Code Enforcement,Police ,"Am I required to have a bear-resistant container? If so, by when?","Residents living in the Secure Trash Regulation Zone are required to have and properly use bear-resistant containers for compost and trash by June 15, 2016. Bear Continers and dumpsters need to be latched at all times. Click here for video on how to use the Western Disposal bear containers and dumpsters."
Bear Resistant Container Required,Code Enforcement,Police ,"Does the new ordinance only apply to trash and compost, or does it also apply to recycling?","Ordinance No. 7962 requires trash and compost to be secured at all times in a bear-resistant cart, dumpster, or enclosure. Recycling is excluded from the requirements of the ordinance. Residents are also required to store all waste and recycle containers so that the contents are not scattered by animals, wind, or other elements."
Bear Resistant Container Required,Code Enforcement,Police ,My compost and trash containers are stored in my garage at all times except when placed at the curb on the morning of waste collection. Do I still need a bear-resistant cart?,"Yes, trash and compost containers need to be secure at all times until collected by a waste hauler. If you put your containers outside at any time (even just before pick-up on the morning of collection), the carts or containers must be bear-resistant."
Bear Resistant Container Required,Code Enforcement,Police ,Can I still bag my leaves and grass for pick-up?,"Yes, landscape material can be bagged in paper lawn and leaf bags. However, do not add any food waste or other attractants to yard waste to prevent it from being scattered. Any scattered items are still subject to possible enforcement."
Bear Resistant Container Required,Code Enforcement,Police ,"If I want to build an outdoor enclosure for my compost and trash carts, will I need a building permit? If so, are there any exemptions from other city regulatory procedures?","Bear Resistant enclosures that are fixed in-place and designed to shelter or protect any kind of property are required to satisfy all applicable codes and regulations, including (but not limited to) minimum setbacks, building separation, maximum building coverage, site triangles, etc. In most residential zoning districts, some types of outdoor enclosures may contribute to the property's maximum allowed floor area ratio (FAR) if the floor-to-ceiling height within the enclosure is greater than six feet. Contact Planning and Development Services at 303-441-1880 or plandevelop@bouldercolorado.gov to discuss the specifications of your proposed enclosure with a Project Specialist so they can provide information specific to your property. Project Specialists are generally available for walk-in consultations during P&DS business hours."
Bear Resistant Container Required,Code Enforcement,Police ,"Can I develop my own securing system to make my trash and compost carts ""bear-resistant""? I have a system that works well and have never had a problem with bears.","No. The city's ""bear-resistant"" standard includes specific minimum requirements in the Rule Establishing Requirements for Bear-Resistant Containers, Dumpsters and Enclosures. Examples of Bear-resistant Carts That Meet the Ordinance Requirements: BearSaver Grizzly Poly Cart models (PC32-G, PC65-G, and PC95-G), Bearicuda Basic, Classic, and Stealth models (PAK130, PAK132, PAK164, PAK195, STL135, STL264, and STL296.)"
Bear Resistant Container Required,Code Enforcement,Police ,"I received a citation, how do I pay a citation?","You can pay in person at the below address. The citation form must be presented to pay in person. You can pay by phone by calling the Code Enforcement unit at 303-441-1875. Please include the invoice and remit with a check or money order made payable to the City of Boulder and mail to: Boulder Police, Code Enforcement Unit REF: Agency Action 1805 33rd Street Boulder, CO 80301-0791."
Bear Resistant Container Required,Code Enforcement,Police ,"I have received a citation, how do I appeal?","Under section 6‐3‐12, you have a right to a hearing to determine whether the assessment of a civil penalty comports with the requirements and standards in chapter 6-3-12, B.R.C, 1981. A request for a hearing must be received by the Boulder Municipal Court no later than 10 calendar days from the date of this letter. If you do not request a hearing within 10 days, the decision of the city to assess a civil penalty and to certify any unpaid charges to the Boulder County Treasurer will become final. The form for requesting a hearing may be found on the Boulder Municipal website ( http://tinyurl.com/civil-onlineform ) or at Request for Quasi-Judicial Review and may be submitted to the attention of ""Civil Settings Request for Quasi-Judicial Review"" and mailed to P.O. Box 8015, Boulder, CO 80302, fax to 303-441-4233, emailed to settings@bouldercolorado.gov, or hand delivered at 1777 6th Street Boulder, CO 80302 between the hours of 8:00 am - 4:30 pm. If questions arise while completing the form, please call the Boulder Municipal Court at 720-564-2327 and ask to speak to the Civil Settings Clerk.   ""Do Not Pay this citation until after the hearing process is completed."""
Bears,Animals,Planning Housing and Sustainability ,Bears,"Colorado Parks and Wildlife (CPW) has provided this list of frequently asked questions about bear management in the City of Boulder. The CPW is responsible for the direct management of all wildlife in the state. For more information, visit the Living with Bears in Colorado webpage."
Bears,Animals,Planning Housing and Sustainability ,Why are there bears in Boulder?,"The land surrounding Boulder, including Open Space and Mountain Parks, U.S. Forest Service property, Boulder County Open Space properties, and the mountain subdivisions all provide excellent habitat for bears. Bears find food in the form of garbage, compost, bird seed, barbecue grills, pet food, and fruit from trees. There is an abundance of water from various creeks, ditches, wetlands and backyard water features (fountains and ponds). Bear sightings are most common west of Broadway, but it is not uncommon for bears to be seen in the east part of Boulder."
Bears,Animals,Planning Housing and Sustainability ,Do we have grizzly bears in Colorado?,"No, all bears in Colorado are black bears, regardless of whether the coat is black, brown, blond or cinnamon-colored. The last confirmed grizzly bear in Colorado was seen in 1979."
Bears,Animals,Planning Housing and Sustainability ,Why can't CPW take all of the bears out of town and keep them out?,"There is no simple way to keep bears out of the city. Because abundant, high-quality habitat exists around the City of Boulder, there will always be bears in town to some extent. In some cases, bears in Boulder may be relocated, though this often is not an ideal solution. Young bears may be somewhat more likely to stay in the area they are moved to. There are, as of yet, no proven techniques to exclude bears from large areas like Boulder, though minimizing human attractants and food sources does help."
Bears,Animals,Planning Housing and Sustainability ,"What is the two strike policy, and what does it mean if a bear is ear-tagged?","The CPW has a ""two-strike"" policy under which bears may be tranquilized, ear-tagged and relocated once if they are in an inappropriate location (for example, too far into town), or they have engaged in episode(s) of ""nuisance"" behavior (multiple visits to town, light property damage, etc.). If that same bear has to be physically dealt with again (tranquilized or trapped due to inappropriate location or nuisance behavior), the bear is put down. Bears that pose a public safety risk will be put down regardless of whether they have ear tags or not."
Bears,Animals,Planning Housing and Sustainability ,What does CPW do about bears in town? When are they relocated or killed?,"The response from CPW will depend on a variety of factors such as location, time of day, history of the bear in town, whether the bear is already ear-tagged, and current behavior. In these cases, the CPW will educate the neighborhood about bear attractants, often via media releases, volunteers going door-to-door and posting signs. Hazing of bears in Boulder (using air horns, banging pots and pans, yelling) is also encouraged in order to make the bear feel uncomfortable around humans. If the bear is in a location where it can be left unbothered, the CPW will often notify immediate neighbors and leave it alone, or leave it with a city or CPW ""bear-sitter"" who can keep an eye on the bear and notify neighbors when the bear moves. That bear will often move back onto open space on its own, usually after dark. Capturing the bear is a last resort, and will only be attempted if less-intensive management options are not effective or appropriate. If the bear has not been captured before, it will be ear-tagged and relocated. If the bear is already ear-tagged, it will be put down. Bears considered to be a public safety risk will not be relocated, but will be put down regardless of whether they are ear-tagged or not."
Bears,Animals,Planning Housing and Sustainability ,"What can I do to keep myself, my kids and my pets safe?","Educate yourself and everyone in your house about bears about how to reduce attractants on your property and in your neighborhood. A great place to start is the Colorado Parks and Wildlife (CPW) website. The CPW recommends that children be supervised when outside in bear, mountain lion and coyote habitat. The risk of injury or death to humans, including children, from bears, is low. Teach your children to be aware of wildlife and what to do if they encounter wildlife. An easy acronym to remember is SMART: S - Stop, do not run. M - Make yourself look big. A - Announce ""Leave me alone!"" R - Retreat - back away slowly. T - Tell an adult. Practicing scenarios ahead of time can better prepare children for an unexpected encounter with wildlife, including bears. Bears do not usually bother pets or target them as food items, and are often afraid of dogs."
Bears,Animals,Planning Housing and Sustainability ,How can I reduce the chance of a bear coming onto or near my property?,"Containing food items and other smelly attractants is the best way to reduce the chances that bears will show interest in your property. When bears successfully seek out human food sources, it increases the chances they will repeatedly come into the City of Boulder to forage. Garbage and compost should be kept in a shed or garage until the morning of pickup, or kept in a bear-resistant trash container so that the bear will not be able to access the food items. Birdfeeders should either be removed from April through November or hung in such a manner that prevents bears from accessing it. Pet food should not be left outside and should be removed as soon as your pet has finished eating. Barbeque grills should be stored in a garage or cleaned thoroughly after each use. The fruit trees that grow in many parts of Boulder can serve as an attractant to bears from mid-summer into the fall. CPW recommends that residents pick up fallen fruit on a regular basis and reconsider planting new fruit trees. Residents can also pick fruit on trees to further minimize attractants. Backyard ponds can serve as an attractant to bears, particularly in the warmer months. Residents concerned about bears near their property should consider draining these ponds. Reducing bear attractants is a community effort, and talking with your neighbors about the importance of keeping attractants contained will benefit both people and bears."
Bears,Animals,Planning Housing and Sustainability ,When are bears most active? Is it unusual to see a bear in the middle of the day?,"Bears are generally most active at dusk, throughout the night, and into the dawn hours. This is often when they are foraging and moving around. However, it is not unusual or abnormal to see bears in the middle of the day. In the fall months, bears need to feed up to 20 hours a day to prepare for hibernation. Hibernation dates can vary depending on the weather, available food sources, and the individual bear, but bears generally will enter hibernation in mid-late November and emerge in early-mid April."
Bears,Animals,Planning Housing and Sustainability ,What do bears eat?,"Bears are omnivorous and eat a wide variety of plant and animal materials. Potential food sources include garbage, compost, bird seed, food from barbecue grills, pet food left outside, and fruit from trees. Bears are frequent visitors because all of these attractants exist within Boulder."
Bears,Animals,Planning Housing and Sustainability ,Why can't we feed bears to keep them out of town?,"CPW does not feed bears outside of Boulder during difficult years because it does not solve the problem of bears coming into town and doing so is bad for the bears. Natural food is difficult, but it is not impossible, to find. Feeding bears reduces their motivation and ability to find food, which may cause bears to become dependent on artificial feeding stations for survival. A single habitat can only support a certain number of bears in a given year. If the CPW were to artificially increase the availability of food for bears around Boulder by feeding them, it would artificially increase local bear populations through a higher breeding success rate and lower mortality."
Bears,Animals,Planning Housing and Sustainability ,What are the risks to humans from bears?,"During the last several decades, there have been three fatalities and 37 incidents in which a person was injured by a black bear in Colorado. Many of these incidents involved the bear either being intentionally fed or being unintentionally habituated to people. There are many things you can do to lower the risk of injury from bears, including removing any attractants around your home and staying alert and aware when you are in any forest, park, or open space area."
Bears,Animals,Planning Housing and Sustainability ,What is considered aggressive bear behavior?,"Many times what appears to be aggressive behavior of bears is more likely defensive behavior. When they feel threatened, defensive bears will: ""pop"" their jaws; make low moaning sounds; ""huff"" or exhale quickly to try to demonstrate that they are ""tough and strong;"" and/or ""false charge"" by running at the threat but stopping before they reach it. Aggressive behavior is rare in black bears. Examples of aggressive behavior would be if a bear, despite having easy ways to escape, approached people or if a bear entered a tent and injured someone."
Bears,Animals,Planning Housing and Sustainability ,Who should I call when I see a bear?,"For general bear information, including advice for living with bears, call Colorado Parks and Wildlife at 303-291-7227 or visit the Colorado Parks and Wildlife (CPW) website. To report sightings within the City of Boulder, call the: Boulder Police non-emergency number at 303-441-3333; or Colorado Parks and Wildlife (during business hours) at 303-291-7227. Call 911 in the event of an immediate human safety issue, or if a human or pet is injured by any wildlife."
Bears,Animals,Planning Housing and Sustainability ,When should I call about a bear?,"You can call anytime to report sightings, knocked-over garbage cans, or property damage caused by bears. The city collects information about where bears go in the city, and what kinds of attractants draw them there, to help better address human-bear conflicts."
Bears,Animals,Planning Housing and Sustainability ,Will CPW pay for property damage caused by bears?,"In some cases, the CPW will reimburse agricultural producers for damage caused by big game, including bears, to their agricultural product or means of production. The reimbursement process is governed by state statutes and regulations and does not apply to personal property, including fences, garages, cars, or most other objects that a bear might damage within the Boulder city limits."
Bicycling,Transportation,Public Works ,Bicycling,"Maintenance of Bike Lanes and Multi-Use Paths Please do not use this form for submitting bike lane or multi-use path maintenance requests. Instead, please use one of the following links: Multi-Use Path MaintenanceStreet Maintenance (this include on-street bike lanes) Street Sweeping (this includes on-street bike lanes) To submit a close call between a bike, pedestrian or motorist, please go to that topic.   The City of Boulder maintains almost 80 total miles of on-street bike lanes. The city's transportation maintenance department performs routine, year-round maintenance of bike lanes, with weekly lane sweeping to remove debris. City staff plows most bicycle facilities during and after winter weather events, fixes potholes and removes overhanging vegetation. The city also responds to any reported maintenance issues as needed.   In addition to the network of on-street bike lanes, the city maintains almost 50 total miles of signed and designated bike routes. A signed bicycle route is typically designated along more lightly traveled residential or secondary roads that follow the same general corridor as more heavily trafficked roadways. Choosing routes with minimal traffic hazards is typically part of the process to create a good route.    A map of all bike lanes and routes is available on the city's website by following this link: Bike-Ped System Map. Mapping Your Route The GO Bike Boulder route finder will show you how to get anywhere in Boulder by bike. It will also tell you how much gas money you have saved, how many calories you have burned and how much carbon dioxide you kept out of the atmosphere! Bike-n-RideRTD's Bike-n-Ride program helps you combine biking with transit riding to help you go the distance. Check the Bike-n-Ride page for more. Bike Share (Boulder B-cycle)Boulder B-cycle is a community nonprofit formed to implement and operate a bike-share system. Check the Boulder B-cycle page for more. Bike Safety Check the Bike Safety page for more guidelines on safe travel."
Bicycling,Transportation,Public Works ,Where can I find Boulder's bicycle traffic laws?,Boulder Revised Code (BRC) Section 7-4 and BRC Section 7-5 regulates the use of bicycles in the City of Boulder.
