Unique ID,Topic,Viewed,Initiated Service Request
191,"Off-trail, Habit Conservation Area and Backcountry Permits",23,0
192,Senior Centers,22,0
193,EXPAND Duck Race,22,0
194,Community Mediation Service,22,0
195,Recreation Equipment Issues,22,0
196,Youth Opportunities,21,0
197,Open Space Recreation Activities,20,0
198,Aircraft Noise,20,0
199,Frozen Water Pipes,20,0
200,Housing Fund for Affordable Housing Providers,20,0
201,Discrimination,20,0
202,Irrigation in City Parks,18,1
203,Contact the Open Space Board of Trustees,15,4
204,Boulder Convention & Visitors Bureau,19,0
205,"Emergency Alerts, Numbers and Warnings",19,0
206,Car Seat Technicians,19,0
207,Domestic Partnership Registration,19,0
208,Child Care Referrals and Subsidies,18,0
209,Library Meeting Space,18,0
210,Accessible Parking,18,0
211,Inside Boulder News,18,0
212,Fire Hydrants,18,0
213,Cone Zones,18,0
214,Inquire Boulder Help,17,0
215,Americans with Disabilities Act (ADA),17,0
216,Apply for Boards & Commissions,17,0
217,Elections,16,0
218,Home Repair Programs,16,0
219,Softball Leagues,16,0
220,Boulder Office of Emergency Management,15,0
221,Macky Auditorium (Boulder Arts Commission) Free Rental Space,15,0
222,Emergency Preparedness,15,0
223,Auction Licensing Instructions,15,0
224,Itinerant Merchant (Door-to-door) License,14,0
225,Child Care Provider Training,14,0
226,ISO Rating and Insurance Information,14,0
227,Current Emergency Information,14,0
228,School Zone Flashing Beacons,10,4
229,CPR Classes,14,0
230,Scalping Tickets,13,0
231,Reimbursement forÃ‚Â  Professional Development,13,0
232,Americans with Disabilities Act (ADA) Trails,13,0
233,Pharmaceutical Disposal and Collection,13,0
234,Birth & Death Certificate Request,13,0
235,Events at Boulder Public Library,13,0
236,Request for a Fire Incident Report,13,0
237,Prevention and Intervention,12,0
238,"Circus, Carnival or Menagerie License Instructions",12,0
239,Transportation Flood Recovery,10,2
240,Meals on Wheels and Cafe Classico,12,0
241,Pawnbroker and Secondhand Dealer License Instructions,12,0
242,Community Development Block Grant,12,0
243,Wage Issues,11,0
244,Skateboarding,11,0
245,Human Services Fund,11,0
246,Canyon Gallery and Art Exhibit Space,11,0
247,Fire Evacuation Information,11,0
248,Committees,11,0
249,Canyon Theater and Canyon Gallery Space Rentals,11,0
250,Local History,11,0
251,Events,11,0
252,Prescribed Fires,10,0
253,Getting a Boulder Public Library card,10,0
254,BoulderReads!,9,0
255,Twenty Ninth Street,9,0
256,Voter Registration,9,0
257,Americans for the Arts Convention Scholarships,9,0
258,Youth Opportunities Grants,9,0
259,Community Event and Impact Funds,9,0
260,News,8,0
261,Immigrant Integration,8,0
262,Volunteering at the Library,8,0
263,Ask-a-Librarian,8,0
264,Polling Places,8,0
265,Previous Elections,7,0
266,Theater Rental and Marketing Assistance Grants,7,0
267,Boulder Arts Commission Grants,7,0
